"","league","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction"
"1","EPL","232811","1","BlockedShot",0.863000030517578,0.710999984741211,0.0399621017277241,"Alexis Sánchez","h","498","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Luke Shaw","Pass"
"2","EPL","232812","2","Goal",0.885,0.5,0.761169016361237,"Paul Pogba","h","1740","Penalty","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00",NA,"Standard"
"3","EPL","232818","39","SavedShot",0.724000015258789,0.655,0.0183958001434803,"Paul Pogba","h","1740","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Alexis Sánchez","Pass"
"4","EPL","232819","40","SavedShot",0.88,0.653000030517578,0.0812148973345757,"Luke Shaw","h","1006","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Juan Mata","Chipped"
"5","EPL","232821","55","SavedShot",0.780999984741211,0.33,0.0283087994903326,"Matteo Darmian","h","557","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Alexis Sánchez","Pass"
"6","EPL","232822","64","MissedShots",0.813000030517578,0.475999984741211,0.0761256963014603,"Juan Mata","h","554","OpenPlay","2018","LeftFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Alexis Sánchez","Pass"
"7","EPL","232825","77","SavedShot",0.888000030517578,0.45,0.420129001140594,"Romelu Lukaku","h","594","OpenPlay","2018","LeftFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Alexis Sánchez","Pass"
"8","EPL","232826","82","Goal",0.95,0.646999969482422,0.0883931964635849,"Luke Shaw","h","1006","OpenPlay","2018","LeftFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Juan Mata","Chipped"
"9","EPL","232813","14","SavedShot",0.755,0.532000007629394,0.0224163997918367,"Wilfred Ndidi","a","5545","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00",NA,"None"
"10","EPL","232814","24","BlockedShot",0.780999984741211,0.352999992370605,0.024150500074029,"Wilfred Ndidi","a","5545","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","James Maddison","Pass"
"11","EPL","232815","28","SavedShot",0.888000030517578,0.4,0.0885408967733383,"James Maddison","a","6818","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Ricardo Pereira","Pass"
"12","EPL","232816","28","BlockedShot",0.715,0.490999984741211,0.0137823997065425,"Ricardo Pereira","a","3303","FromCorner","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00",NA,"None"
"13","EPL","232817","31","BlockedShot",0.729000015258789,0.502999992370605,0.0511638000607491,"James Maddison","a","6818","DirectFreekick","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00",NA,"Standard"
"14","EPL","232820","49","BlockedShot",0.785,0.322000007629395,0.0242982991039753,"Kelechi Iheanacho","a","620","OpenPlay","2018","LeftFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Daniel Amartey","Pass"
"15","EPL","232823","74","SavedShot",0.926999969482422,0.462000007629395,0.111965000629425,"Demarai Gray","a","762","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Jamie Vardy","Cross"
"16","EPL","232824","76","MissedShots",0.724000015258789,0.612000007629395,0.0133300004526973,"Demarai Gray","a","762","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00",NA,"None"
"17","EPL","232827","88","BlockedShot",0.808000030517578,0.479000015258789,0.0574852004647255,"Kelechi Iheanacho","a","620","OpenPlay","2018","LeftFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Wilfred Ndidi","Pass"
"18","EPL","232828","89","BlockedShot",0.760999984741211,0.579000015258789,0.0192859992384911,"Demarai Gray","a","762","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Ben Chilwell","Pass"
"19","EPL","232829","90","MissedShots",0.895999984741211,0.527000007629395,0.284381985664368,"Jamie Vardy","a","755","OpenPlay","2018","RightFoot","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00","Ricardo Pereira","Chipped"
"20","EPL","232830","91","Goal",0.99,0.53,0.946618020534515,"Jamie Vardy","a","755","OpenPlay","2018","Head","9197","Manchester United","Leicester",2,1,"2018-08-10 22:00:00",NA,"None"
