"","league","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction"
"1","EPL","425564","10","MissedShots",0.913000030517578,0.539000015258789,0.0534639991819859,"Frank Onyeka","h","9681","OpenPlay","2021","Head","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00",NA,"Aerial"
"2","EPL","425565","11","ShotOnPost",0.908000030517578,0.315,0.118297003209591,"Bryan Mbeumo","h","6552","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Ivan Toney","Throughball"
"3","EPL","425567","21","Goal",0.874000015258789,0.698000030517578,0.0521446987986565,"Sergi Canos","h","1078","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Ethan Pinnock","BallRecovery"
"4","EPL","425568","27","MissedShots",0.811999969482422,0.477999992370605,0.0657062008976936,"Sergi Canos","h","1078","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Frank Onyeka","Pass"
"5","EPL","425569","29","MissedShots",0.891999969482422,0.357000007629395,0.0806905999779701,"Bryan Mbeumo","h","6552","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Kristoffer Ajer","Chipped"
"6","EPL","425579","65","SavedShot",0.881999969482422,0.332000007629395,0.0725838020443916,"Sergi Canos","h","1078","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Bryan Mbeumo","Pass"
"7","EPL","425582","72","Goal",0.969000015258789,0.480999984741211,0.886597990989685,"Christian Nørgaard","h","7083","OpenPlay","2021","Head","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00",NA,"Aerial"
"8","EPL","425585","79","MissedShots",0.973000030517578,0.527999992370605,0.55869597196579,"Christian Nørgaard","h","7083","FromCorner","2021","Head","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Sergi Canos","Aerial"
"9","EPL","425563","1","SavedShot",0.715,0.532000007629394,0.0172221008688211,"Kieran Tierney","a","8089","FromCorner","2021","LeftFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Nicolas Pepe","Pass"
"10","EPL","425566","15","MissedShots",0.846999969482422,0.312000007629395,0.0255658999085426,"Calum Chambers","a","508","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Kieran Tierney","Cross"
"11","EPL","425570","30","MissedShots",0.915999984741211,0.515,0.0964953005313873,"Folarin Balogun","a","9690","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00",NA,"BallTouch"
"12","EPL","425571","32","MissedShots",0.819000015258789,0.27,0.0244100000709295,"Nicolas Pepe","a","5656","OpenPlay","2021","LeftFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Gabriel Martinelli","Pass"
"13","EPL","425572","37","MissedShots",0.825,0.748000030517578,0.0191922001540661,"Folarin Balogun","a","9690","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00",NA,"BallTouch"
"14","EPL","425573","41","MissedShots",0.905,0.517999992370605,0.0417672991752625,"Folarin Balogun","a","9690","OpenPlay","2021","Head","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Kieran Tierney","Aerial"
"15","EPL","425574","45","BlockedShot",0.861999969482422,0.370999984741211,0.051384199410677,"Nicolas Pepe","a","5656","OpenPlay","2021","LeftFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Gabriel Martinelli","Pass"
"16","EPL","425575","50","SavedShot",0.851999969482422,0.55,0.0719166025519371,"Emile Smith-Rowe","a","7230","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Kieran Tierney","Pass"
"17","EPL","425576","59","SavedShot",0.748000030517578,0.369000015258789,0.0178267993032932,"Albert Sambi Lokonga","a","9689","OpenPlay","2021","LeftFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Nicolas Pepe","Pass"
"18","EPL","425577","63","BlockedShot",0.86,0.665999984741211,0.044573899358511,"Kieran Tierney","a","8089","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Bukayo Saka","BallTouch"
"19","EPL","425578","64","MissedShots",0.965999984741211,0.567000007629395,0.121241003274918,"Gabriel Martinelli","a","7752","FromCorner","2021","Head","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Nicolas Pepe","Cross"
"20","EPL","425580","66","BlockedShot",0.811999969482422,0.342999992370605,0.036226399242878,"Calum Chambers","a","508","OpenPlay","2021","RightFoot","16376","Brentford","Arsenal",2,0,"2021-08-13 19:00:00","Granit Xhaka","Pass"
